titulo,tipo,precio,condicion,ubicacion,tiempo,reputacion,pago
Computador Cpu I7 7700 3.6 Led 20 2 Tera 4gb Dvd Garantia,Computadoras y Servidores,645,Nuevo  -  278 vendidos,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Efectivo
"Computador Escritorio 7ta Generacióni3,i5,i7 Cotice El Suyo",Computadoras y Servidores,490,Nuevo  -  54 vendidos,"Quito, Pichincha ( Quito )",13 Años,98% de compradores lo recomiendan,Efectivo
Monitor 17 Hd Led / Nuevo En Caja,Computadoras y Servidores,69,Nuevo  -  59 vendidos,"Quito, Pichincha ( Quito )",3 Años,97% de compradores lo recomiendan,
Servidor Hp Proliant Ml110 Gen10 16gb 4tb Server Intel Xeon,Computadoras y Servidores,1.587,Nuevo  -  15 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Efectivo
Computador Intel Core I7 8700 8va Gen D.d 1tb M 4gb Led 20,Computadoras y Servidores,759,Nuevo  -  86 vendidos,"Quito, Pichincha ( Quito )",4 Años,98% de compradores lo recomiendan,Tarjeta de Crédito
Pc Gamer I7 8700k Gtx1080 64gb 480gb Ssd Led 23 1tb Cpu I9,Computadoras y Servidores,3.875,Nuevo  -  34 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
Promocion Computadora De Escritorio +impresora + Escritorio,Computadoras y Servidores,439,Nuevo  -  68 vendidos,"Quito, Pichincha ( Quito )",13 Años,98% de compradores lo recomiendan,Efectivo
"Pc Hp Compaq Dc 5750 + Monitor 17 +teclado,mouse",Computadoras y Servidores,145,Usado  -  48 vendidos,"Quito, Pichincha ( Quito )",5 Años,95% de compradores lo recomiendan,
Pc Computadora Gamer Intel G4560 8gb Video Gt1030 Monitor 20,Computadoras y Servidores,695,Nuevo  -  37 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
Primera Pc Gamer 8gb Ram Dual Cpu Video 2gb Juegos Computado,Computadoras y Servidores,499,Nuevo  -  32 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
Cpu I7-7700-16gb Ram / 2 Teras / Mb Asus Gigaby / 4gb Video,Computadoras y Servidores,850,Nuevo  -  83 vendidos,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Efectivo
